r_start r_end       c1             c2           c3              c4
2.8000 4.8000 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.00000000E+00
4.8000 18.8310 1.63195479E-04 -4.64026965E-03 0.00000000E+00 1.00000000E+00
18.8310 27.1510 -6.94374457E-05 2.22911763E-03 -3.38308740E-02 5.37264647E-01
27.1510 37.4240 -1.19564154E-05 4.95958990E-04 -1.11582365E-02 3.70105515E-01
37.4240 63.6150 -9.34760029E-07 1.27474224E-04 -4.75370706E-03 2.94855128E-01
63.6150 89.1660 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.41000000E-01
